#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_11_length_20824_cov_80.809151_component_0	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_11_length_20824_cov_80.809151_component_0	417	941	(AGly)Sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)Sat-2A
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_16_length_9486_cov_28.500053_component_0	34	531	(Tmt)DfrA12	1-498/498	===============	0/0	100.00	100.00	argannot	Z21672:310-807	(Tmt)DfrA12
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_16_length_9486_cov_28.500053_component_0	951	1730	(AGly)AadA2	1-780/780	===============	0/0	100.00	99.87	argannot	X68227:66-945	(AGly)AadA2
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_16_length_9486_cov_28.500053_component_0	2235	3074	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)SulI
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_16_length_9486_cov_28.500053_component_0	8385	9290	(MLS)MphA	1-906/906	===============	0/0	100.00	100.00	argannot	DQ445270:1626-2531	(MLS)MphA
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_16_length_9486_cov_28.500053_component_0	9360	9466	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_19_length_5943_cov_35.246389_component_0	4923	5783	(AGly)Aac3-IId	1-861/861	===============	0/0	100.00	99.88	argannot	EU022314:1-861	(AGly)Aac3-IId
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_22_length_1969_cov_34.153094_component_0	21	128	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_22_length_1969_cov_34.153094_component_0	727	1632	(MLS)Erm42	1-906/906	===============	0/0	100.00	99.67	argannot	FR734406:1-906	(MLS)Erm42
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_25_length_1474_cov_31.213616_component_0	2	877	(Bla)CTX-M-14	1-876/876	===============	0/0	100.00	100.00	argannot	AF252622:1741-2616	(Bla)CTX-M-14
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_33_length_713_cov_252.030717_component_0	1	107	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602	(Phe)CatB4
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_4_length_41050_cov_29.679227_component_0	4758	5417	(Phe)CatA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)CatA1
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_6_length_26478_cov_33.044439_component_0	395	1231	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)StrB
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_6_length_26478_cov_33.044439_component_0	1231	2034	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)StrA
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_6_length_26478_cov_33.044439_component_0	2095	2910	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)SulII
/home/murilo/plasmids2/URO_425/contigs.fasta	NODE_7_length_25368_cov_80.459649_component_0	5805	6686	(Bla)KPC-2	1-882/882	===============	0/0	100.00	100.00	argannot	JN048642:127-1008	(Bla)KPC-2
